status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,AI,Air India,,,,DEL,2025-09-23 12:45:00,2025-09-23 11:04:00,34.0,2025-09-23 10:30:00,BOM,2025-09-23 10:30:00,AI2994
active,departure,BA,British Airways,,,,TRV,2025-09-23 12:50:00,2025-09-23 11:22:00,47.0,2025-09-23 11:03:00,BOM,2025-09-23 10:35:00,BA8002
active,departure,VS,Virgin Atlantic,,,,TRV,2025-09-23 12:50:00,2025-09-23 11:22:00,47.0,2025-09-23 11:03:00,BOM,2025-09-23 10:35:00,VS8608
active,departure,6E,IndiGo,,,,TRV,2025-09-23 12:50:00,2025-09-23 11:22:00,47.0,2025-09-23 11:03:00,BOM,2025-09-23 10:35:00,6E624
active,departure,6E,IndiGo,,14.0,2025-09-23 12:53:00,TRZ,2025-09-23 12:40:00,2025-09-23 11:16:00,41.0,2025-09-23 11:06:00,BOM,2025-09-23 10:35:00,6E6118
active,departure,QP,Akasa Air,,13.0,2025-09-23 13:42:00,DBR,2025-09-23 13:30:00,2025-09-23 11:25:00,46.0,2025-09-23 10:40:00,BOM,2025-09-23 10:40:00,QP1529
active,departure,AI,Air India,,12.0,2025-09-23 13:32:00,PAT,2025-09-23 13:20:00,2025-09-23 11:20:00,31.0,2025-09-23 11:03:00,BOM,2025-09-23 10:50:00,AI2675
active,departure,DL,Delta Air Lines,,,2025-09-23 16:04:00,LHR,2025-09-23 16:15:00,2025-09-23 11:30:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 10:55:00,DL5944
active,departure,VN,Vietnam Airlines,,,2025-09-23 16:04:00,LHR,2025-09-23 16:15:00,2025-09-23 11:30:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 10:55:00,VN3197
active,departure,VS,Virgin Atlantic,,,2025-09-23 16:04:00,LHR,2025-09-23 16:15:00,2025-09-23 11:30:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 10:55:00,VS355
active,departure,VS,Virgin Atlantic,,,,COK,2025-09-23 12:45:00,,35.0,2025-09-23 11:30:00,BOM,2025-09-23 10:55:00,VS8519
active,departure,6E,IndiGo,,,,COK,2025-09-23 12:45:00,,35.0,2025-09-23 11:30:00,BOM,2025-09-23 10:55:00,6E673
active,departure,AI,Air India,,,2025-09-23 12:11:00,JGA,2025-09-23 12:25:00,2025-09-23 11:19:00,20.0,2025-09-23 11:06:00,BOM,2025-09-23 11:00:00,AI647
active,departure,AI,Air India,,,,HYD,2025-09-23 12:30:00,,,2025-09-23 11:00:00,BOM,2025-09-23 11:00:00,AI2444
active,departure,ET,Ethiopian Airlines,,,2025-09-23 12:53:00,JAI,2025-09-23 12:55:00,2025-09-23 11:32:00,33.0,2025-09-23 11:10:00,BOM,2025-09-23 11:00:00,ET1757
active,departure,AI,Air India,,,2025-09-23 12:53:00,JAI,2025-09-23 12:55:00,2025-09-23 11:32:00,33.0,2025-09-23 11:10:00,BOM,2025-09-23 11:00:00,AI2635
active,departure,QP,Akasa Air,,,2025-09-23 13:19:00,LKO,2025-09-23 13:20:00,2025-09-23 11:29:00,29.0,2025-09-23 11:00:00,BOM,2025-09-23 11:00:00,QP1152
active,departure,QP,Akasa Air,,1.0,2025-09-23 14:06:00,IXB,2025-09-23 14:05:00,2025-09-23 11:34:00,34.0,2025-09-23 11:00:00,BOM,2025-09-23 11:00:00,QP1385
