status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
landed,arrival,AI,Air India,2025-09-23T10:16:00.000,,2025-09-23T10:17:00.000,BOM,2025-09-23T10:30:00.000,2025-09-23T08:53:00.000,28.0,2025-09-23T08:25:00.000,BLR,2025-09-23T08:25:00.000,AI2846
landed,arrival,NH,ANA,2025-09-23T10:08:00.000,,2025-09-23T10:05:00.000,BOM,2025-09-23T10:30:00.000,2025-09-23T08:00:00.000,20.0,2025-09-23T07:40:00.000,SIN,2025-09-23T07:40:00.000,NH6284
landed,arrival,NZ,Air New Zealand,2025-09-23T10:08:00.000,,2025-09-23T10:05:00.000,BOM,2025-09-23T10:30:00.000,2025-09-23T08:00:00.000,20.0,2025-09-23T07:40:00.000,SIN,2025-09-23T07:40:00.000,NZ3202
landed,arrival,SQ,Singapore Airlines,2025-09-23T10:08:00.000,,2025-09-23T10:05:00.000,BOM,2025-09-23T10:30:00.000,2025-09-23T08:00:00.000,20.0,2025-09-23T07:40:00.000,SIN,2025-09-23T07:40:00.000,SQ422
landed,arrival,AI,Air India,2025-09-23T10:24:00.000,,2025-09-23T10:24:00.000,BOM,2025-09-23T10:40:00.000,2025-09-23T08:48:00.000,34.0,2025-09-23T08:15:00.000,DEL,2025-09-23T08:15:00.000,AI887
landed,arrival,QP,Akasa Air,2025-09-23T10:34:00.000,,2025-09-23T10:29:00.000,BOM,2025-09-23T10:40:00.000,2025-09-23T08:43:00.000,18.0,2025-09-23T08:25:00.000,DEL,2025-09-23T08:25:00.000,QP1719
landed,arrival,VS,Virgin Atlantic,2025-09-23T10:14:00.000,,2025-09-23T10:14:00.000,BOM,2025-09-23T10:40:00.000,2025-09-23T08:49:00.000,4.0,2025-09-23T08:45:00.000,RPR,2025-09-23T08:45:00.000,VS9534
landed,arrival,6E,IndiGo,2025-09-23T10:14:00.000,,2025-09-23T10:14:00.000,BOM,2025-09-23T10:40:00.000,2025-09-23T08:49:00.000,4.0,2025-09-23T08:45:00.000,RPR,2025-09-23T08:45:00.000,6E594
landed,arrival,BA,British Airways,2025-09-23T10:02:00.000,,2025-09-23T10:02:00.000,BOM,2025-09-23T10:40:00.000,2025-09-23T08:44:00.000,,2025-09-23T08:40:00.000,BLR,2025-09-23T08:50:00.000,BA8771
landed,arrival,JL,Jet Linx Aviation,2025-09-23T10:02:00.000,,2025-09-23T10:02:00.000,BOM,2025-09-23T10:40:00.000,2025-09-23T08:44:00.000,,2025-09-23T08:40:00.000,BLR,2025-09-23T08:50:00.000,JL9751
