,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
0,,landed,arrival,AI,AIC,Air India,2025-09-23T10:16:00.000,2025-09-23T10:16:00.000,13,,2025-09-23T10:16:00.000,2025-09-23T10:17:00.000,,BOM,VABB,2025-09-23T10:30:00.000,2,2025-09-23T08:53:00.000,2025-09-23T08:53:00.000,,28,2025-09-23T08:53:00.000,2025-09-23T08:25:00.000,D9,BLR,VOBL,2025-09-23T08:25:00.000,T2,AI2846,AIC2846,2846,,,,,,
1,,landed,arrival,NH,ANA,ANA,2025-09-23T10:08:00.000,2025-09-23T10:08:00.000,5,,2025-09-23T10:08:00.000,2025-09-23T10:05:00.000,,BOM,VABB,2025-09-23T10:30:00.000,2,2025-09-23T08:00:00.000,2025-09-23T08:00:00.000,,20,2025-09-23T08:00:00.000,2025-09-23T07:40:00.000,A17,SIN,WSSS,2025-09-23T07:40:00.000,3,NH6284,ANA6284,6284,sq,sia,singapore airlines,sq422,sia422,422
2,,landed,arrival,NZ,ANZ,Air New Zealand,2025-09-23T10:08:00.000,2025-09-23T10:08:00.000,5,,2025-09-23T10:08:00.000,2025-09-23T10:05:00.000,,BOM,VABB,2025-09-23T10:30:00.000,2,2025-09-23T08:00:00.000,2025-09-23T08:00:00.000,,20,2025-09-23T08:00:00.000,2025-09-23T07:40:00.000,A17,SIN,WSSS,2025-09-23T07:40:00.000,3,NZ3202,ANZ3202,3202,sq,sia,singapore airlines,sq422,sia422,422
3,,landed,arrival,SQ,SIA,Singapore Airlines,2025-09-23T10:08:00.000,2025-09-23T10:08:00.000,5,,2025-09-23T10:08:00.000,2025-09-23T10:05:00.000,,BOM,VABB,2025-09-23T10:30:00.000,2,2025-09-23T08:00:00.000,2025-09-23T08:00:00.000,,20,2025-09-23T08:00:00.000,2025-09-23T07:40:00.000,A17,SIN,WSSS,2025-09-23T07:40:00.000,3,SQ422,SIA422,422,,,,,,
4,,landed,arrival,AI,AIC,Air India,2025-09-23T10:24:00.000,2025-09-23T10:24:00.000,1,,2025-09-23T10:24:00.000,2025-09-23T10:24:00.000,,BOM,VABB,2025-09-23T10:40:00.000,2,2025-09-23T08:48:00.000,2025-09-23T08:48:00.000,,34,2025-09-23T08:48:00.000,2025-09-23T08:15:00.000,30,DEL,VIDP,2025-09-23T08:15:00.000,3,AI887,AIC887,887,,,,,,
5,,landed,arrival,QP,AKJ,Akasa Air,2025-09-23T10:34:00.000,2025-09-23T10:34:00.000,01,,2025-09-23T10:34:00.000,2025-09-23T10:29:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:43:00.000,2025-09-23T08:43:00.000,,18,2025-09-23T08:43:00.000,2025-09-23T08:25:00.000,D7,DEL,VIDP,2025-09-23T08:25:00.000,1,QP1719,AKJ1719,1719,,,,,,
6,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T10:14:00.000,2025-09-23T10:14:00.000,14,,2025-09-23T10:14:00.000,2025-09-23T10:14:00.000,,BOM,VABB,2025-09-23T10:40:00.000,2,2025-09-23T08:49:00.000,2025-09-23T08:49:00.000,,4,2025-09-23T08:49:00.000,2025-09-23T08:45:00.000,,RPR,VERP,2025-09-23T08:45:00.000,,VS9534,VIR9534,9534,6e,igo,indigo,6e594,igo594,594
7,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:14:00.000,2025-09-23T10:14:00.000,14,,2025-09-23T10:14:00.000,2025-09-23T10:14:00.000,,BOM,VABB,2025-09-23T10:40:00.000,2,2025-09-23T08:49:00.000,2025-09-23T08:49:00.000,,4,2025-09-23T08:49:00.000,2025-09-23T08:45:00.000,,RPR,VERP,2025-09-23T08:45:00.000,,6E594,IGO594,594,,,,,,
8,,landed,arrival,BA,BAW,British Airways,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,03,,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,,2025-09-23T08:44:00.000,2025-09-23T08:40:00.000,17,BLR,VOBL,2025-09-23T08:50:00.000,1,BA8771,BAW8771,8771,6e,igo,indigo,6e5216,igo5216,5216
9,,landed,arrival,JL,JTL,Jet Linx Aviation,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,03,,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,,2025-09-23T08:44:00.000,2025-09-23T08:40:00.000,17,BLR,VOBL,2025-09-23T08:50:00.000,1,JL9751,JTL9751,9751,6e,igo,indigo,6e5216,igo5216,5216
10,,landed,arrival,QF,QFA,Qantas,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,03,,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,,2025-09-23T08:44:00.000,2025-09-23T08:40:00.000,17,BLR,VOBL,2025-09-23T08:50:00.000,1,QF5051,QFA5051,5051,6e,igo,indigo,6e5216,igo5216,5216
11,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,03,,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,,2025-09-23T08:44:00.000,2025-09-23T08:40:00.000,17,BLR,VOBL,2025-09-23T08:50:00.000,1,VS8339,VIR8339,8339,6e,igo,indigo,6e5216,igo5216,5216
12,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,03,,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,,2025-09-23T08:44:00.000,2025-09-23T08:40:00.000,17,BLR,VOBL,2025-09-23T08:50:00.000,1,6E5216,IGO5216,5216,,,,,,
