status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,AI,Air India,,,,DEL,2025-09-23T12:45:00.000,2025-09-23T11:04:00.000,34.0,2025-09-23T10:30:00.000,BOM,2025-09-23T10:30:00.000,AI2994
active,departure,BA,British Airways,,,,TRV,2025-09-23T12:50:00.000,2025-09-23T11:22:00.000,47.0,2025-09-23T11:03:00.000,BOM,2025-09-23T10:35:00.000,BA8002
active,departure,VS,Virgin Atlantic,,,,TRV,2025-09-23T12:50:00.000,2025-09-23T11:22:00.000,47.0,2025-09-23T11:03:00.000,BOM,2025-09-23T10:35:00.000,VS8608
active,departure,6E,IndiGo,,,,TRV,2025-09-23T12:50:00.000,2025-09-23T11:22:00.000,47.0,2025-09-23T11:03:00.000,BOM,2025-09-23T10:35:00.000,6E624
active,departure,6E,IndiGo,,14.0,2025-09-23T12:53:00.000,TRZ,2025-09-23T12:40:00.000,2025-09-23T11:16:00.000,41.0,2025-09-23T11:06:00.000,BOM,2025-09-23T10:35:00.000,6E6118
active,departure,QP,Akasa Air,,13.0,2025-09-23T13:42:00.000,DBR,2025-09-23T13:30:00.000,2025-09-23T11:25:00.000,46.0,2025-09-23T10:40:00.000,BOM,2025-09-23T10:40:00.000,QP1529
active,departure,AI,Air India,,12.0,2025-09-23T13:32:00.000,PAT,2025-09-23T13:20:00.000,2025-09-23T11:20:00.000,31.0,2025-09-23T11:03:00.000,BOM,2025-09-23T10:50:00.000,AI2675
active,departure,DL,Delta Air Lines,,,2025-09-23T16:04:00.000,LHR,2025-09-23T16:15:00.000,2025-09-23T11:30:00.000,35.0,2025-09-23T11:14:00.000,BOM,2025-09-23T10:55:00.000,DL5944
active,departure,VN,Vietnam Airlines,,,2025-09-23T16:04:00.000,LHR,2025-09-23T16:15:00.000,2025-09-23T11:30:00.000,35.0,2025-09-23T11:14:00.000,BOM,2025-09-23T10:55:00.000,VN3197
active,departure,VS,Virgin Atlantic,,,2025-09-23T16:04:00.000,LHR,2025-09-23T16:15:00.000,2025-09-23T11:30:00.000,35.0,2025-09-23T11:14:00.000,BOM,2025-09-23T10:55:00.000,VS355
active,departure,VS,Virgin Atlantic,,,,COK,2025-09-23T12:45:00.000,,35.0,2025-09-23T11:30:00.000,BOM,2025-09-23T10:55:00.000,VS8519
active,departure,6E,IndiGo,,,,COK,2025-09-23T12:45:00.000,,35.0,2025-09-23T11:30:00.000,BOM,2025-09-23T10:55:00.000,6E673
active,departure,AI,Air India,,,2025-09-23T12:11:00.000,JGA,2025-09-23T12:25:00.000,2025-09-23T11:19:00.000,20.0,2025-09-23T11:06:00.000,BOM,2025-09-23T11:00:00.000,AI647
active,departure,AI,Air India,,,,HYD,2025-09-23T12:30:00.000,,,2025-09-23T11:00:00.000,BOM,2025-09-23T11:00:00.000,AI2444
active,departure,ET,Ethiopian Airlines,,,2025-09-23T12:53:00.000,JAI,2025-09-23T12:55:00.000,2025-09-23T11:32:00.000,33.0,2025-09-23T11:10:00.000,BOM,2025-09-23T11:00:00.000,ET1757
active,departure,AI,Air India,,,2025-09-23T12:53:00.000,JAI,2025-09-23T12:55:00.000,2025-09-23T11:32:00.000,33.0,2025-09-23T11:10:00.000,BOM,2025-09-23T11:00:00.000,AI2635
