,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
0,,active,departure,AI,AIC,Air India,,,2,,,,,DEL,VIDP,2025-09-23T12:45:00.000,3,2025-09-23T11:04:00.000,2025-09-23T11:04:00.000,,34,2025-09-23T11:04:00.000,2025-09-23T10:30:00.000,49,BOM,VABB,2025-09-23T10:30:00.000,2,AI2994,AIC2994,2994,,,,,,
1,,active,departure,BA,BAW,British Airways,,,CD2,,,,,TRV,VOTV,2025-09-23T12:50:00.000,T1,2025-09-23T11:22:00.000,2025-09-23T11:22:00.000,,47,2025-09-23T11:22:00.000,2025-09-23T11:03:00.000,86,BOM,VABB,2025-09-23T10:35:00.000,2,BA8002,BAW8002,8002,6e,igo,indigo,6e624,igo624,624
2,,active,departure,VS,VIR,Virgin Atlantic,,,CD2,,,,,TRV,VOTV,2025-09-23T12:50:00.000,T1,2025-09-23T11:22:00.000,2025-09-23T11:22:00.000,,47,2025-09-23T11:22:00.000,2025-09-23T11:03:00.000,86,BOM,VABB,2025-09-23T10:35:00.000,2,VS8608,VIR8608,8608,6e,igo,indigo,6e624,igo624,624
3,,active,departure,6E,IGO,IndiGo,,,CD2,,,,,TRV,VOTV,2025-09-23T12:50:00.000,T1,2025-09-23T11:22:00.000,2025-09-23T11:22:00.000,,47,2025-09-23T11:22:00.000,2025-09-23T11:03:00.000,86,BOM,VABB,2025-09-23T10:35:00.000,2,6E624,IGO624,624,,,,,,
4,,active,departure,6E,IGO,IndiGo,,,,14,,2025-09-23T12:53:00.000,,TRZ,VOTR,2025-09-23T12:40:00.000,,2025-09-23T11:16:00.000,2025-09-23T11:16:00.000,,41,2025-09-23T11:16:00.000,2025-09-23T11:06:00.000,65B,BOM,VABB,2025-09-23T10:35:00.000,2,6E6118,IGO6118,6118,,,,,,
5,,active,departure,QP,AKJ,Akasa Air,,,,13,,2025-09-23T13:42:00.000,,DBR,VEDH,2025-09-23T13:30:00.000,,2025-09-23T11:25:00.000,2025-09-23T11:25:00.000,,46,2025-09-23T11:25:00.000,2025-09-23T10:40:00.000,21,BOM,VABB,2025-09-23T10:40:00.000,1,QP1529,AKJ1529,1529,,,,,,
6,,active,departure,AI,AIC,Air India,,,,12,,2025-09-23T13:32:00.000,,PAT,VEPT,2025-09-23T13:20:00.000,,2025-09-23T11:20:00.000,2025-09-23T11:20:00.000,,31,2025-09-23T11:20:00.000,2025-09-23T11:03:00.000,40A,BOM,VABB,2025-09-23T10:50:00.000,2,AI2675,AIC2675,2675,,,,,,
7,,active,departure,DL,DAL,Delta Air Lines,,,,,,2025-09-23T16:04:00.000,,LHR,EGLL,2025-09-23T16:15:00.000,3,2025-09-23T11:30:00.000,2025-09-23T11:30:00.000,,35,2025-09-23T11:30:00.000,2025-09-23T11:14:00.000,73,BOM,VABB,2025-09-23T10:55:00.000,2,DL5944,DAL5944,5944,vs,vir,virgin atlantic,vs355,vir355,355
8,,active,departure,VN,HVN,Vietnam Airlines,,,,,,2025-09-23T16:04:00.000,,LHR,EGLL,2025-09-23T16:15:00.000,3,2025-09-23T11:30:00.000,2025-09-23T11:30:00.000,,35,2025-09-23T11:30:00.000,2025-09-23T11:14:00.000,73,BOM,VABB,2025-09-23T10:55:00.000,2,VN3197,HVN3197,3197,vs,vir,virgin atlantic,vs355,vir355,355
9,,active,departure,VS,VIR,Virgin Atlantic,,,,,,2025-09-23T16:04:00.000,,LHR,EGLL,2025-09-23T16:15:00.000,3,2025-09-23T11:30:00.000,2025-09-23T11:30:00.000,,35,2025-09-23T11:30:00.000,2025-09-23T11:14:00.000,73,BOM,VABB,2025-09-23T10:55:00.000,2,VS355,VIR355,355,,,,,,
10,,active,departure,VS,VIR,Virgin Atlantic,,,,,,,,COK,VOCI,2025-09-23T12:45:00.000,1,,,,35,,2025-09-23T11:30:00.000,50,BOM,VABB,2025-09-23T10:55:00.000,2,VS8519,VIR8519,8519,6e,igo,indigo,6e673,igo673,673
11,,active,departure,6E,IGO,IndiGo,,,,,,,,COK,VOCI,2025-09-23T12:45:00.000,1,,,,35,,2025-09-23T11:30:00.000,50,BOM,VABB,2025-09-23T10:55:00.000,2,6E673,IGO673,673,,,,,,
12,,active,departure,AI,AIC,Air India,,,,,,2025-09-23T12:11:00.000,,JGA,VAJM,2025-09-23T12:25:00.000,,2025-09-23T11:19:00.000,2025-09-23T11:19:00.000,,20,2025-09-23T11:19:00.000,2025-09-23T11:06:00.000,,BOM,VABB,2025-09-23T11:00:00.000,2,AI647,AIC647,647,,,,,,
13,,active,departure,AI,AIC,Air India,,,1,,,,,HYD,VOHS,2025-09-23T12:30:00.000,,,,,,,2025-09-23T11:00:00.000,40A,BOM,VABB,2025-09-23T11:00:00.000,2,AI2444,AIC2444,2444,,,,,,
14,,active,departure,ET,ETH,Ethiopian Airlines,,,2,,,2025-09-23T12:53:00.000,,JAI,VIJP,2025-09-23T12:55:00.000,T2,2025-09-23T11:32:00.000,2025-09-23T11:32:00.000,,33,2025-09-23T11:32:00.000,2025-09-23T11:10:00.000,69A,BOM,VABB,2025-09-23T11:00:00.000,2,ET1757,ETH1757,1757,ai,aic,air india,ai2635,aic2635,2635
15,,active,departure,AI,AIC,Air India,,,2,,,2025-09-23T12:53:00.000,,JAI,VIJP,2025-09-23T12:55:00.000,T2,2025-09-23T11:32:00.000,2025-09-23T11:32:00.000,,33,2025-09-23T11:32:00.000,2025-09-23T11:10:00.000,69A,BOM,VABB,2025-09-23T11:00:00.000,2,AI2635,AIC2635,2635,,,,,,
16,,active,departure,QP,AKJ,Akasa Air,,,NC5,,,2025-09-23T13:19:00.000,,LKO,VILK,2025-09-23T13:20:00.000,3,2025-09-23T11:29:00.000,2025-09-23T11:29:00.000,,29,2025-09-23T11:29:00.000,2025-09-23T11:00:00.000,26,BOM,VABB,2025-09-23T11:00:00.000,1,QP1152,AKJ1152,1152,,,,,,
17,,active,departure,QP,AKJ,Akasa Air,,,,1,,2025-09-23T14:06:00.000,,IXB,VEBD,2025-09-23T14:05:00.000,,2025-09-23T11:34:00.000,2025-09-23T11:34:00.000,,34,2025-09-23T11:34:00.000,2025-09-23T11:00:00.000,1,BOM,VABB,2025-09-23T11:00:00.000,1,QP1385,AKJ1385,1385,,,,,,
18,,active,departure,UL,ALK,SriLankan Airlines,,,NC4,,,2025-09-23T13:23:00.000,,LKO,VILK,2025-09-23T13:25:00.000,T3,2025-09-23T11:36:00.000,2025-09-23T11:36:00.000,,32,2025-09-23T11:36:00.000,2025-09-23T11:15:00.000,47,BOM,VABB,2025-09-23T11:05:00.000,2,UL3634,ALK3634,3634,ai,aic,air india,ai2491,aic2491,2491
19,,active,departure,AI,AIC,Air India,,,NC4,,,2025-09-23T13:23:00.000,,LKO,VILK,2025-09-23T13:25:00.000,T3,2025-09-23T11:36:00.000,2025-09-23T11:36:00.000,,32,2025-09-23T11:36:00.000,2025-09-23T11:15:00.000,47,BOM,VABB,2025-09-23T11:05:00.000,2,AI2491,AIC2491,2491,,,,,,
20,,active,departure,AI,AIC,Air India,,,,,,2025-09-23T13:29:00.000,A8,ADD,HAAB,2025-09-23T14:00:00.000,2,2025-09-23T11:39:00.000,2025-09-23T11:39:00.000,,35,2025-09-23T11:39:00.000,2025-09-23T11:14:00.000,76,BOM,VABB,2025-09-23T11:05:00.000,2,AI7566,AIC7566,7566,et,eth,ethiopian airlines,et641,eth641,641
21,,active,departure,ET,ETH,Ethiopian Airlines,,,,,,2025-09-23T13:29:00.000,A8,ADD,HAAB,2025-09-23T14:00:00.000,2,2025-09-23T11:39:00.000,2025-09-23T11:39:00.000,,35,2025-09-23T11:39:00.000,2025-09-23T11:14:00.000,76,BOM,VABB,2025-09-23T11:05:00.000,2,ET641,ETH641,641,,,,,,
22,,active,departure,KL,KLM,KLM,,,,10,,2025-09-23T14:14:00.000,,KTM,VNKT,2025-09-23T14:05:00.000,,2025-09-23T11:38:00.000,2025-09-23T11:38:00.000,,33,2025-09-23T11:38:00.000,2025-09-23T11:28:00.000,48A,BOM,VABB,2025-09-23T11:05:00.000,2,KL4768,KLM4768,4768,6e,igo,indigo,6e1157,igo1157,1157
23,,active,departure,6E,IGO,IndiGo,,,,10,,2025-09-23T14:14:00.000,,KTM,VNKT,2025-09-23T14:05:00.000,,2025-09-23T11:38:00.000,2025-09-23T11:38:00.000,,33,2025-09-23T11:38:00.000,2025-09-23T11:28:00.000,48A,BOM,VABB,2025-09-23T11:05:00.000,2,6E1157,IGO1157,1157,,,,,,
24,,active,departure,EY,ETD,Etihad Airways,,,6,,,2025-09-23T12:46:00.000,C38A,AUH,OMAA,2025-09-23T13:00:00.000,A,2025-09-23T11:43:00.000,2025-09-23T11:43:00.000,,34,2025-09-23T11:43:00.000,2025-09-23T11:42:00.000,67B,BOM,VABB,2025-09-23T11:10:00.000,2,EY201,ETD201,201,,,,,,
25,,active,departure,AF,AFR,Air France,,,,,,2025-09-23T12:32:00.000,,GOI,VOGO,2025-09-23T12:35:00.000,,2025-09-23T11:42:00.000,2025-09-23T11:42:00.000,,33,2025-09-23T11:42:00.000,2025-09-23T11:33:00.000,15,BOM,VABB,2025-09-23T11:10:00.000,1,AF6475,AFR6475,6475,6e,igo,indigo,6e5307,igo5307,5307
26,,active,departure,BA,BAW,British Airways,,,,,,2025-09-23T12:32:00.000,,GOI,VOGO,2025-09-23T12:35:00.000,,2025-09-23T11:42:00.000,2025-09-23T11:42:00.000,,33,2025-09-23T11:42:00.000,2025-09-23T11:33:00.000,15,BOM,VABB,2025-09-23T11:10:00.000,1,BA7926,BAW7926,7926,6e,igo,indigo,6e5307,igo5307,5307
27,,active,departure,MH,MAS,Malaysia Airlines,,,,,,2025-09-23T12:32:00.000,,GOI,VOGO,2025-09-23T12:35:00.000,,2025-09-23T11:42:00.000,2025-09-23T11:42:00.000,,33,2025-09-23T11:42:00.000,2025-09-23T11:33:00.000,15,BOM,VABB,2025-09-23T11:10:00.000,1,MH5273,MAS5273,5273,6e,igo,indigo,6e5307,igo5307,5307
28,,active,departure,VS,VIR,Virgin Atlantic,,,,,,2025-09-23T12:32:00.000,,GOI,VOGO,2025-09-23T12:35:00.000,,2025-09-23T11:42:00.000,2025-09-23T11:42:00.000,,33,2025-09-23T11:42:00.000,2025-09-23T11:33:00.000,15,BOM,VABB,2025-09-23T11:10:00.000,1,VS8547,VIR8547,8547,6e,igo,indigo,6e5307,igo5307,5307
29,,active,departure,6E,IGO,IndiGo,,,,,,2025-09-23T12:32:00.000,,GOI,VOGO,2025-09-23T12:35:00.000,,2025-09-23T11:42:00.000,2025-09-23T11:42:00.000,,33,2025-09-23T11:42:00.000,2025-09-23T11:33:00.000,15,BOM,VABB,2025-09-23T11:10:00.000,1,6E5307,IGO5307,5307,,,,,,
30,,active,departure,6E,IGO,IndiGo,,,,1,,2025-09-23T13:21:00.000,,AGR,VIAG,2025-09-23T13:20:00.000,,2025-09-23T11:46:00.000,2025-09-23T11:46:00.000,,36,2025-09-23T11:46:00.000,2025-09-23T11:20:00.000,,BOM,VABB,2025-09-23T11:10:00.000,1,6E5316,IGO5316,5316,,,,,,
31,,active,departure,AI,AIC,Air India,,,,14,,2025-09-23T12:53:00.000,,UDR,VAUD,2025-09-23T12:40:00.000,,2025-09-23T11:49:00.000,2025-09-23T11:49:00.000,,34,2025-09-23T11:49:00.000,2025-09-23T11:20:00.000,87B,BOM,VABB,2025-09-23T11:15:00.000,2,AI2593,AIC2593,2593,,,,,,
32,,active,departure,JL,JTL,Jet Linx Aviation,,,002,2,,2025-09-23T13:32:00.000,,DEL,VIDP,2025-09-23T13:30:00.000,1,2025-09-23T11:50:00.000,2025-09-23T11:50:00.000,,35,2025-09-23T11:50:00.000,2025-09-23T11:30:00.000,49,BOM,VABB,2025-09-23T11:15:00.000,2,JL9260,JTL9260,9260,6e,igo,indigo,6e6827,igo6827,6827
33,,active,departure,QF,QFA,Qantas,,,002,2,,2025-09-23T13:32:00.000,,DEL,VIDP,2025-09-23T13:30:00.000,1,2025-09-23T11:50:00.000,2025-09-23T11:50:00.000,,35,2025-09-23T11:50:00.000,2025-09-23T11:30:00.000,49,BOM,VABB,2025-09-23T11:15:00.000,2,QF5282,QFA5282,5282,6e,igo,indigo,6e6827,igo6827,6827
34,,active,departure,VS,VIR,Virgin Atlantic,,,002,2,,2025-09-23T13:32:00.000,,DEL,VIDP,2025-09-23T13:30:00.000,1,2025-09-23T11:50:00.000,2025-09-23T11:50:00.000,,35,2025-09-23T11:50:00.000,2025-09-23T11:30:00.000,49,BOM,VABB,2025-09-23T11:15:00.000,2,VS8531,VIR8531,8531,6e,igo,indigo,6e6827,igo6827,6827
35,,active,departure,6E,IGO,IndiGo,,,002,2,,2025-09-23T13:32:00.000,,DEL,VIDP,2025-09-23T13:30:00.000,1,2025-09-23T11:50:00.000,2025-09-23T11:50:00.000,,35,2025-09-23T11:50:00.000,2025-09-23T11:30:00.000,49,BOM,VABB,2025-09-23T11:15:00.000,2,6E6827,IGO6827,6827,,,,,,
36,,active,departure,AI,AIC,Air India,,,7A,10,,2025-09-23T13:15:00.000,D9,BLR,VOBL,2025-09-23T13:05:00.000,2,2025-09-23T11:56:00.000,2025-09-23T11:56:00.000,,37,2025-09-23T11:56:00.000,2025-09-23T11:28:00.000,65A,BOM,VABB,2025-09-23T11:20:00.000,2,AI2632,AIC2632,2632,,,,,,
37,,active,departure,ET,ETH,Ethiopian Airlines,,,,1,,2025-09-23T12:40:00.000,,GOI,VOGO,2025-09-23T12:40:00.000,,2025-09-23T11:51:00.000,2025-09-23T11:51:00.000,,31,2025-09-23T11:51:00.000,2025-09-23T11:28:00.000,,BOM,VABB,2025-09-23T11:20:00.000,2,ET1755,ETH1755,1755,ai,aic,air india,ai2841,aic2841,2841
38,,active,departure,AI,AIC,Air India,,,,1,,2025-09-23T12:40:00.000,,GOI,VOGO,2025-09-23T12:40:00.000,,2025-09-23T11:51:00.000,2025-09-23T11:51:00.000,,31,2025-09-23T11:51:00.000,2025-09-23T11:28:00.000,,BOM,VABB,2025-09-23T11:20:00.000,2,AI2841,AIC2841,2841,,,,,,
