status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country,departure_hour,arrival_hour,departure_delay_flag,arrival_delay_flag,total_delay,flight_type,flight_duration
active,departure,AI,Air India,,,,DEL,2025-09-23 12:45:00,2025-09-23 11:04:00,34.0,2025-09-23 10:30:00,BOM,2025-09-23 10:30:00,AI2994,India,India,10,12,True,False,34.0,Domestic,
active,departure,BA,British Airways,,,,TRV,2025-09-23 12:50:00,2025-09-23 11:22:00,47.0,2025-09-23 11:03:00,BOM,2025-09-23 10:35:00,BA8002,India,India,10,12,True,False,47.0,Domestic,
active,departure,VS,Virgin Atlantic,,,,TRV,2025-09-23 12:50:00,2025-09-23 11:22:00,47.0,2025-09-23 11:03:00,BOM,2025-09-23 10:35:00,VS8608,India,India,10,12,True,False,47.0,Domestic,
active,departure,6E,IndiGo,,,,TRV,2025-09-23 12:50:00,2025-09-23 11:22:00,47.0,2025-09-23 11:03:00,BOM,2025-09-23 10:35:00,6E624,India,India,10,12,True,False,47.0,Domestic,
active,departure,6E,IndiGo,,14.0,2025-09-23 12:53:00,TRZ,2025-09-23 12:40:00,2025-09-23 11:16:00,41.0,2025-09-23 11:06:00,BOM,2025-09-23 10:35:00,6E6118,India,India,10,12,True,True,55.0,Domestic,
active,departure,QP,Akasa Air,,13.0,2025-09-23 13:42:00,DBR,2025-09-23 13:30:00,2025-09-23 11:25:00,46.0,2025-09-23 10:40:00,BOM,2025-09-23 10:40:00,QP1529,India,,10,13,True,True,59.0,International,
active,departure,AI,Air India,,12.0,2025-09-23 13:32:00,PAT,2025-09-23 13:20:00,2025-09-23 11:20:00,31.0,2025-09-23 11:03:00,BOM,2025-09-23 10:50:00,AI2675,India,India,10,13,True,True,43.0,Domestic,
active,departure,DL,Delta Air Lines,,,2025-09-23 16:04:00,LHR,2025-09-23 16:15:00,2025-09-23 11:30:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 10:55:00,DL5944,India,United Kingdom,10,16,True,False,35.0,International,
active,departure,VN,Vietnam Airlines,,,2025-09-23 16:04:00,LHR,2025-09-23 16:15:00,2025-09-23 11:30:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 10:55:00,VN3197,India,United Kingdom,10,16,True,False,35.0,International,
active,departure,VS,Virgin Atlantic,,,2025-09-23 16:04:00,LHR,2025-09-23 16:15:00,2025-09-23 11:30:00,35.0,2025-09-23 11:14:00,BOM,2025-09-23 10:55:00,VS355,India,United Kingdom,10,16,True,False,35.0,International,
