status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country,departure_hour,arrival_hour,departure_delay_flag,arrival_delay_flag,total_delay,flight_type,flight_duration,arrival.delay_missing,departure.delay_missing,arrival.actualTime_missing,departure.actualTime_missing,arrival.estimatedTime_missing,departure.estimatedTime_missing,flight_duration_missing,total_delay_missing
active,departure,AI,Air India,,,,DEL,23-09-2025 12:45,23-09-2025 11:04,34,23-09-2025 10:30,BOM,23-09-2025 10:30,AI2994,India,India,10,12,TRUE,FALSE,34,Domestic,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
active,departure,BA,British Airways,,,,TRV,23-09-2025 12:50,23-09-2025 11:22,47,23-09-2025 11:03,BOM,23-09-2025 10:35,BA8002,India,India,10,12,TRUE,FALSE,47,Domestic,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,,TRV,23-09-2025 12:50,23-09-2025 11:22,47,23-09-2025 11:03,BOM,23-09-2025 10:35,VS8608,India,India,10,12,TRUE,FALSE,47,Domestic,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,,TRV,23-09-2025 12:50,23-09-2025 11:22,47,23-09-2025 11:03,BOM,23-09-2025 10:35,6E624,India,India,10,12,TRUE,FALSE,47,Domestic,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,14,23-09-2025 12:53,TRZ,23-09-2025 12:40,23-09-2025 11:16,41,23-09-2025 11:06,BOM,23-09-2025 10:35,6E6118,India,India,10,12,TRUE,TRUE,55,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,QP,Akasa Air,,13,23-09-2025 13:42,DBR,23-09-2025 13:30,23-09-2025 11:25,46,23-09-2025 10:40,BOM,23-09-2025 10:40,QP1529,India,,10,13,TRUE,TRUE,59,International,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,12,23-09-2025 13:32,PAT,23-09-2025 13:20,23-09-2025 11:20,31,23-09-2025 11:03,BOM,23-09-2025 10:50,AI2675,India,India,10,13,TRUE,TRUE,43,Domestic,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,DL,Delta Air Lines,,,23-09-2025 16:04,LHR,23-09-2025 16:15,23-09-2025 11:30,35,23-09-2025 11:14,BOM,23-09-2025 10:55,DL5944,India,United Kingdom,10,16,TRUE,FALSE,35,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VN,Vietnam Airlines,,,23-09-2025 16:04,LHR,23-09-2025 16:15,23-09-2025 11:30,35,23-09-2025 11:14,BOM,23-09-2025 10:55,VN3197,India,United Kingdom,10,16,TRUE,FALSE,35,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 16:04,LHR,23-09-2025 16:15,23-09-2025 11:30,35,23-09-2025 11:14,BOM,23-09-2025 10:55,VS355,India,United Kingdom,10,16,TRUE,FALSE,35,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,,COK,23-09-2025 12:45,,35,23-09-2025 11:30,BOM,23-09-2025 10:55,VS8519,India,India,10,12,TRUE,FALSE,35,Domestic,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,,,COK,23-09-2025 12:45,,35,23-09-2025 11:30,BOM,23-09-2025 10:55,6E673,India,India,10,12,TRUE,FALSE,35,Domestic,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
